step,train_loss,val_loss,lr,tokens,wall_clock
250,2.1662309169769287,2.14801230430603,0.0002974060128544361,16000,250
500,1.560323715209961,1.5956903338432311,0.0002819134295108992,32000,500
750,1.3626396656036377,1.3639989912509918,0.00025401168503850927,48000,750
1000,1.196738362312317,1.2453276753425597,0.00021666226336928708,64000,1000
1250,1.1487842798233032,1.1827441096305846,0.0001738294224460693,80000,1250
1500,1.0636770725250244,1.110111552476883,0.00013005942891115968,96000,1500
1750,1.1035003662109375,1.0743835330009461,8.999801854235373e-05,112000,1750
2000,1.0123491287231445,1.0574011743068694,5.789729906068326e-05,128000,2000
2250,1.0180069208145142,1.033073976635933,3.7164432518160744e-05,144000,2250
2500,1.0429497957229614,1.0311901599168778,2.9999999999999997e-05,160000,2500
